station_id,timestamp,temperature_celsius,humidity_percent,pm2_5
1011,2025-02-15 04:00:00,21.86,76.34,59.35
1011,2025-02-28 13:00:00,18.9,50.89,21.21
1011,2025-02-09 20:00:00,29.05,51.06,59.63
1011,2025-01-25 13:00:00,26.43,65.09,39.54
1011,2025-03-16 15:00:00,29.3,46.26,7.25
1011,2025-03-29 06:00:00,19.3,41.16,26.54
1011,2025-02-15 03:00:00,28.07,66.71,36.02
1011,2025-01-21 09:00:00,28.71,51.34,9.86
1011,2025-03-23 01:00:00,19.13,72.96,46.62
1011,2025-02-28 04:00:00,29.81,91.58,34.23
1011,2025-02-10 17:00:00,22.24,88.91,29.14
1011,2025-02-13 04:00:00,25.02,71.81,66.32
1011,2025-03-25 17:00:00,24.79,83.63,71.79
1011,2025-03-07 20:00:00,28.03,69.7,24.32
1011,2025-03-28 13:00:00,25.49,51.49,43.56
1011,2025-03-15 17:00:00,27.06,63.35,31.29
1011,2025-03-17 08:00:00,25.15,66.17,70.85
1011,2025-01-29 22:00:00,22.69,78.91,9.49
1011,2025-01-16 16:00:00,29.25,33.3,65.33
1011,2025-03-02 15:00:00,20.05,59.48,41.66
1011,2025-03-14 07:00:00,20.31,74.56,
1011,2025-03-31 01:00:00,23.19,44.88,24.82
1011,2025-01-29 04:00:00,19.41,48.46,11.44
1011,2025-03-01 08:00:00,28.51,82.14,16.3
1011,2025-03-01 13:00:00,27.94,59.85,30.15
1011,2025-02-19 02:00:00,23.23,84.38,62.16
1011,2025-03-15 00:00:00,21.08,74.42,9.19
1011,2025-02-26 13:00:00,26.12,35.17,49.09
1011,2025-03-28 15:00:00,19.24,89.98,23.52
1011,2025-01-13 13:00:00,19.92,83.06,32.28
1011,2025-03-31 14:00:00,26.36,66.96,74.64
1011,2025-03-25 18:00:00,24.94,34.48,21.87
1011,2025-03-26 22:00:00,26.76,65.9,71.83
1011,2025-02-06 06:00:00,25.19,94.09,39.61
1011,2025-01-06 13:00:00,18.61,66.12,56.46
1011,2025-03-19 08:00:00,26.8,40.06,65.02
1011,2025-01-04 16:00:00,27.01,,74.45
1011,2025-03-27 10:00:00,18.07,70.1,69.51
1011,2025-01-10 07:00:00,24.87,92.68,21.45
1011,2025-03-20 17:00:00,19.99,76.39,8.21
1011,2025-03-02 13:00:00,20.93,47.62,68.93
1011,2025-02-16 11:00:00,22.46,90.55,57.22
1011,2025-02-26 22:00:00,20.41,53.49,66.06
1011,2025-02-09 15:00:00,24.84,39.82,62.9
1011,2025-03-10 02:00:00,19.57,87.82,7.36
1011,2025-01-15 09:00:00,24.94,69.7,44.05
1011,2025-01-20 03:00:00,24.71,64.59,49.92
1011,2025-01-11 11:00:00,26.23,84.31,47.28
1011,2025-03-29 17:00:00,20.82,67.95,72.74
1011,2025-01-20 09:00:00,28.36,40.43,47.14
1011,2025-01-08 13:00:00,21.15,64.88,23.85
1011,2025-01-04 16:00:00,23.24,59.89,28.51
1011,2025-01-15 08:00:00,21.57,66.36,41.99
1011,2025-02-16 16:00:00,27.19,49.41,29.87
1011,2025-02-07 15:00:00,,77.44,57.38
1011,2025-01-09 23:00:00,26.06,42.26,59.09
1011,2025-01-28 04:00:00,21.85,67.91,34.26
1011,2025-01-26 13:00:00,22.5,82.54,33.27
1011,2025-01-15 19:00:00,19.77,42.54,46.51
1011,2025-02-26 20:00:00,19.21,45.78,11.94
1011,2025-02-08 22:00:00,24.9,56.23,24.45
1011,2025-03-12 01:00:00,29.84,45.06,9.87
1011,2025-02-12 17:00:00,29.37,46.39,33.36
1011,2025-02-18 00:00:00,26.95,31.36,30.57
1011,2025-03-06 15:00:00,20.51,63.06,14.38
1011,2025-01-22 12:00:00,18.51,49.97,58.7
1011,2025-03-04 01:00:00,29.62,55.0,42.81
1011,2025-02-16 05:00:00,28.7,72.2,12.04
1011,2025-03-15 20:00:00,23.68,34.82,24.18
1011,2025-03-23 04:00:00,24.89,41.89,48.79
1011,2025-02-01 10:00:00,19.09,46.32,39.77
1011,2025-02-10 20:00:00,25.29,86.95,62.33
1011,2025-01-01 12:00:00,27.76,77.39,14.68
1011,2025-03-10 01:00:00,20.7,89.6,18.18
1011,2025-01-08 18:00:00,29.83,40.34,8.28
1011,2025-03-19 12:00:00,26.61,70.48,22.41
1011,2025-01-25 19:00:00,22.37,77.25,42.52
1011,2025-01-28 04:00:00,25.62,92.72,32.66
1011,2025-03-07 03:00:00,28.51,84.13,51.79
1011,2025-01-27 10:00:00,20.89,77.56,48.49
1011,2025-01-08 09:00:00,21.26,72.62,9.5
1011,2025-03-06 06:00:00,24.9,30.78,16.32
1011,2025-03-24 07:00:00,27.34,55.79,38.17
1011,2025-03-02 02:00:00,28.45,46.88,23.78
1011,2025-03-12 09:00:00,25.15,44.28,55.7
1011,2025-03-31 01:00:00,18.94,52.65,34.86
1011,2025-02-12 18:00:00,22.85,79.89,47.8
1011,2025-02-08 08:00:00,26.75,90.71,74.11
1011,2025-01-05 08:00:00,24.62,30.45,63.98
1011,2025-01-04 00:00:00,23.43,48.1,46.49
1011,2025-01-11 22:00:00,20.98,87.13,66.61
1011,2025-01-31 06:00:00,22.16,,31.97
1011,2025-03-23 04:00:00,24.05,31.89,36.51
1011,2025-03-20 02:00:00,29.59,89.54,60.28
1011,2025-01-22 14:00:00,26.28,43.27,38.29
1011,2025-01-28 16:00:00,21.24,93.53,38.05
1011,2025-03-02 09:00:00,25.52,43.6,39.7
1011,2025-03-27 13:00:00,19.24,54.55,30.85
1011,2025-02-20 01:00:00,27.85,89.7,44.9
1011,2025-02-24 06:00:00,19.11,94.3,68.38
1012,2025-03-17 00:00:00,,46.28,33.72
1012,2025-02-03 00:00:00,29.37,63.68,33.29
1012,2025-01-27 02:00:00,21.99,87.03,37.69
1012,2025-02-01 08:00:00,27.6,91.11,61.77
1012,2025-01-02 00:00:00,18.9,48.52,10.23
1012,2025-01-19 09:00:00,19.71,89.96,67.8
1012,2025-01-21 09:00:00,22.53,40.85,25.63
1012,2025-02-05 04:00:00,29.28,72.32,8.73
1012,2025-03-26 09:00:00,22.04,35.35,67.7
1012,2025-02-13 05:00:00,29.61,30.24,5.06
1012,2025-03-02 21:00:00,19.3,43.93,62.39
1012,2025-02-16 06:00:00,29.02,48.59,58.94
1012,2025-01-17 07:00:00,27.86,45.94,16.14
1012,2025-01-12 17:00:00,24.16,70.69,35.04
1012,2025-01-15 13:00:00,25.52,89.77,15.95
1012,2025-03-21 15:00:00,27.16,55.42,28.73
1012,2025-02-05 17:00:00,27.57,53.35,47.81
1012,2025-01-13 14:00:00,18.98,30.21,37.94
1012,2025-02-23 01:00:00,27.37,64.44,40.87
1012,2025-03-08 02:00:00,29.56,59.44,24.69
1012,2025-03-26 06:00:00,26.97,47.95,67.75
1012,2025-03-30 16:00:00,28.13,46.48,63.16
1012,2025-02-22 10:00:00,20.08,52.7,10.05
1012,2025-03-09 23:00:00,19.22,34.66,43.58
1012,2025-02-04 18:00:00,29.29,84.59,55.2
1012,2025-01-03 21:00:00,18.75,88.8,59.31
1012,2025-02-05 05:00:00,24.32,77.95,72.22
1012,2025-01-30 19:00:00,,65.3,48.94
1012,2025-01-29 15:00:00,28.32,71.06,68.49
1012,2025-03-10 09:00:00,24.39,32.0,45.5
1012,2025-02-25 17:00:00,20.61,47.23,65.16
1012,2025-01-14 18:00:00,20.82,56.79,5.96
1012,2025-01-26 18:00:00,27.39,91.88,10.98
1012,2025-01-24 11:00:00,22.67,33.59,60.85
1012,2025-03-07 02:00:00,27.93,80.66,73.14
1012,2025-03-17 13:00:00,28.91,75.78,54.94
1012,2025-03-14 14:00:00,22.29,51.49,71.31
1012,2025-01-09 06:00:00,28.17,85.22,25.54
1012,2025-02-02 00:00:00,29.19,66.39,18.53
1012,2025-03-17 05:00:00,25.81,66.48,24.51
1012,2025-02-21 07:00:00,25.8,40.39,46.43
1012,2025-03-19 00:00:00,27.82,93.25,58.88
1012,2025-02-21 06:00:00,24.18,68.66,27.68
1012,2025-02-27 06:00:00,22.09,33.56,12.18
1012,2025-01-21 00:00:00,19.59,49.85,32.94
1012,2025-03-15 06:00:00,18.82,70.03,54.46
1012,2025-02-06 14:00:00,19.84,57.72,52.64
1012,2025-01-23 18:00:00,25.18,38.87,61.46
1012,2025-03-11 07:00:00,27.37,72.7,14.93
1012,2025-02-27 11:00:00,20.78,91.33,6.23
1012,2025-03-22 03:00:00,27.64,30.44,40.85
1012,2025-02-16 21:00:00,19.49,63.92,35.61
1012,2025-03-11 08:00:00,28.47,49.97,65.82
1012,2025-01-02 19:00:00,23.94,53.78,15.95
1012,2025-01-22 06:00:00,28.85,68.48,27.92
1012,2025-02-28 12:00:00,19.62,80.22,46.34
1012,2025-02-13 03:00:00,29.31,60.47,39.85
1012,2025-02-11 10:00:00,29.52,34.21,53.28
1012,2025-03-29 05:00:00,25.5,49.36,51.2
1012,2025-02-02 05:00:00,22.19,82.24,68.32
1012,2025-02-12 02:00:00,27.47,75.48,74.22
1012,2025-01-13 01:00:00,27.97,63.41,24.08
1012,2025-01-16 13:00:00,25.62,87.62,48.98
1012,2025-02-06 21:00:00,29.7,93.45,
1012,2025-02-10 09:00:00,26.72,69.33,15.33
1012,2025-03-16 20:00:00,28.62,58.5,40.25
1012,2025-03-02 19:00:00,18.02,32.3,52.2
1012,2025-02-18 07:00:00,20.75,58.95,48.15
1012,2025-03-27 14:00:00,22.54,31.16,57.48
1012,2025-03-05 20:00:00,24.37,93.27,46.01
1012,2025-02-27 11:00:00,22.7,50.8,57.97
1012,2025-02-03 09:00:00,20.91,90.56,8.17
1012,2025-03-04 17:00:00,28.55,33.1,43.57
1012,2025-02-04 08:00:00,26.48,56.94,12.62
1012,2025-01-14 21:00:00,23.99,58.35,30.72
1012,2025-01-20 11:00:00,23.0,41.97,56.53
1012,2025-02-18 08:00:00,24.73,73.21,62.48
1012,2025-03-09 07:00:00,28.19,63.64,16.38
1012,2025-03-12 16:00:00,21.54,49.38,52.34
1012,2025-03-01 19:00:00,22.18,58.92,30.89
1012,2025-02-14 18:00:00,25.25,91.96,73.19
1012,2025-01-25 06:00:00,28.51,87.17,58.19
1012,2025-01-03 18:00:00,22.23,81.88,38.86
1012,2025-01-31 23:00:00,25.15,71.23,21.59
1012,2025-03-14 19:00:00,20.5,64.71,44.58
1012,2025-02-06 15:00:00,27.88,49.58,64.74
1012,2025-01-31 16:00:00,22.79,47.38,56.54
1012,2025-01-26 14:00:00,22.42,67.56,60.25
1012,2025-02-03 10:00:00,25.61,54.06,10.01
1012,2025-03-04 06:00:00,21.47,36.26,58.85
1012,2025-01-17 12:00:00,24.11,30.34,46.66
1012,2025-02-01 16:00:00,28.36,34.72,16.81
1012,2025-03-28 02:00:00,22.99,34.37,59.27
1012,2025-03-23 19:00:00,22.91,40.92,
1012,2025-03-10 01:00:00,26.22,86.41,10.79
1012,2025-02-04 04:00:00,23.56,49.16,54.67
1012,2025-02-19 08:00:00,23.12,72.99,51.64
1012,2025-02-16 00:00:00,27.99,60.57,21.07
1012,2025-01-13 05:00:00,20.37,49.32,48.22
1012,2025-01-11 08:00:00,25.77,81.8,16.28
1013,2025-02-18 05:00:00,20.8,94.3,32.39
1013,2025-03-15 16:00:00,22.81,47.38,20.34
1013,2025-01-13 18:00:00,22.71,38.24,29.82
1013,2025-03-10 18:00:00,29.09,63.66,7.08
1013,2025-01-25 18:00:00,28.79,47.81,16.59
1013,2025-01-23 20:00:00,27.22,54.74,67.67
1013,2025-02-08 20:00:00,27.56,58.06,62.48
1013,2025-03-22 03:00:00,24.76,90.06,46.33
1013,2025-02-06 20:00:00,22.91,33.54,26.42
1013,2025-02-06 13:00:00,23.61,89.73,12.54
1013,2025-01-27 00:00:00,24.37,80.2,69.53
1013,2025-02-20 08:00:00,25.25,35.6,59.5
1013,2025-03-05 07:00:00,25.28,75.22,49.63
1013,2025-03-26 00:00:00,27.63,89.27,46.3
1013,2025-03-25 03:00:00,21.51,31.15,6.77
1013,2025-02-15 22:00:00,29.36,81.29,12.34
1013,2025-02-13 16:00:00,18.54,59.48,50.89
1013,2025-03-18 21:00:00,20.57,54.39,25.64
1013,2025-02-01 00:00:00,26.08,85.6,34.96
1013,2025-02-11 04:00:00,18.17,34.67,40.97
1013,2025-01-05 12:00:00,29.61,79.34,30.6
1013,2025-02-19 21:00:00,26.81,73.25,57.31
1013,2025-01-15 16:00:00,18.32,36.29,65.39
1013,2025-03-05 07:00:00,25.34,88.83,15.64
1013,2025-03-24 19:00:00,27.53,40.8,56.96
1013,2025-02-10 10:00:00,23.0,92.97,19.73
1013,2025-02-16 06:00:00,25.78,60.07,25.99
1013,2025-01-25 10:00:00,20.72,94.05,6.33
1013,2025-01-23 18:00:00,,74.95,38.26
1013,2025-01-19 03:00:00,29.17,60.66,23.07
1013,2025-03-10 20:00:00,21.33,90.82,13.43
1013,2025-03-13 09:00:00,27.33,82.2,67.99
1013,2025-02-16 01:00:00,25.56,84.08,57.92
1013,2025-02-03 01:00:00,29.6,43.06,62.46
1013,2025-03-28 05:00:00,22.63,88.77,49.71
